Station,Target
Bombolulu,110000.0
Busia,120000.0
Buxton,55000.0
Bypass,100000.0
Cheramei,80000.0
Diani,170000.0
Ferry,50000.0
Huruma,40000.0
Kaloleni,50000.0
Lamu,70000.0
Langalanga,70000.0
Likoni,50000.0
Lolwe,90000.0
Malindi,120000.0
Matuu,40000.0
Meru,120000.0
Migori,200000.0
Mishomoroni,120000.0
Moi,250000.0
Mumia,80000.0
Ngara,75000.0
Othaya,50000.0
Pangani,80000.0
Sabasaba,60000.0
Shelly,60000.0
Shelly Beach,60000.0
Siaya,120000.0
Tononoka,105000.0
Transhighway,110000.0
Utange,120000.0
Voi,160000.0
Waiyaki,80000.0
Webuye,90000.0
