Zone,Standard Station,Alias
COAST,Bombolulu,Bombolulu
COAST,Buxton,Buxton
COAST,Bypass,Bypass
COAST,Diani,Diani
COAST,Ferry,Ferry
COAST,Kaloleni,Kaloleni
COAST,Lamu,Lamu
COAST,Lamu,Mokowe
COAST,Likoni,Likoni
COAST,Malindi,Malindi
COAST,Mishomoroni,Mishomoroni
COAST,Moi,Moi
COAST,Moi,Moi Av
COAST,Moi,Moi Ave
COAST,Moi,Moi Avenue
COAST,Sabasaba,Sabasaba
COAST,Shelly Beach,Shelly
COAST,Shelly Beach,Shelly Beach
COAST,Tononoka,Tononoka
COAST,Utange,Utange
COAST,Voi,Voi
NAIROBI,Langalanga,Langalanga
NAIROBI,Matuu,Matuu
NAIROBI,Meru,Meru
NAIROBI,Ngara,Ngara
NAIROBI,Othaya,Othaya
NAIROBI,Pangani,Pangani
NAIROBI,Transhighway,Transhighway
NAIROBI,Waiyaki,Waiyaki
NAIROBI,Waiyaki,Waiyaki Way
WESTERN,Busia,Busia
WESTERN,Cheramei,Cheramei
WESTERN,Huruma,Huruma
WESTERN,Lolwe,Lolwe
WESTERN,Migori,Migori
WESTERN,Mumia,Mumia
WESTERN,Siaya,Siaya
WESTERN,Webuye,Webuye
